repo,total_issues,open_issues,closed_issues,total_pulls,open_pulls,merged_pulls,closed_pulls
puppetlabs/puppetlabs-docker,17,11,6,29,4,24,1
puppetlabs/puppetlabs-powershell,0,0,0,10,1,8,1
puppetlabs/puppetlabs-dsc,0,0,0,14,1,12,1
puppetlabs/puppetlabs-acl,0,0,0,1,0,1,0
puppetlabs/puppetlabs-amazon_aws,0,0,0,0,0,0,0
puppetlabs/puppetlabs-azure_arm,5,5,0,1,1,0,0
puppetlabs/puppetlabs-chocolatey,0,0,0,5,0,5,0
puppetlabs/puppetlabs-reboot,0,0,0,6,1,5,0
puppetlabs/puppetlabs-wsus_client,0,0,0,0,0,0,0
puppetlabs/puppetlabs-dsc_lite,0,0,0,7,1,6,0
puppetlabs/puppetlabs-scheduled_task,0,0,0,7,0,7,0
puppetlabs/puppetlabs-kubernetes,13,6,7,22,3,17,2
puppetlabs/puppetlabs-iis,0,0,0,14,6,7,1
puppetlabs/puppetlabs-sqlserver,0,0,0,19,0,18,1
puppetlabs/puppetlabs-registry,0,0,0,1,0,1,0
puppetlabs/puppetlabs-helm,3,1,2,8,0,7,1
puppetlabs/puppetlabs-rook,0,0,0,7,0,6,1
puppetlabs/puppetlabs-stdlib,0,0,0,23,8,10,5
puppetlabs/puppetlabs-apache,0,0,0,40,4,26,10
puppetlabs/puppetlabs-apt,0,0,0,15,2,10,3
puppetlabs/puppetlabs-firewall,0,0,0,28,2,21,5
puppetlabs/puppetlabs-mysql,0,0,0,37,7,23,7
puppetlabs/puppetlabs-ntp,0,0,0,11,0,7,4
puppetlabs/puppetlabs-postgresql,0,0,0,21,1,13,7
puppetlabs/puppetlabs-concat,0,0,0,14,2,9,3
puppetlabs/puppetlabs-java,0,0,0,16,1,11,4
puppetlabs/puppetlabs-tomcat,0,0,0,15,1,10,4
puppetlabs/puppetlabs-vcsrepo,0,0,0,14,1,10,3
puppetlabs/puppetlabs-inifile,0,0,0,9,0,6,3
puppetlabs/puppetlabs-vsphere,0,0,0,3,1,2,0
puppetlabs/puppetlabs-haproxy,0,0,0,13,1,9,3
puppetlabs/cisco_ios,0,0,0,14,3,9,2
puppetlabs/puppetlabs-websphere_application_server,0,0,0,16,0,13,3
puppetlabs/puppetlabs-netscaler,0,0,0,0,0,0,0
puppetlabs/puppetlabs-satellite_pe_tools,0,0,0,14,0,9,5
puppetlabs/puppetlabs-exec,0,0,0,18,0,13,5
puppetlabs/puppetlabs-ibm_installation_manager,0,0,0,12,0,8,4
puppetlabs/puppetlabs-accounts,0,0,0,18,0,13,5
puppetlabs/puppetlabs-java_ks,0,0,0,13,0,9,4
puppetlabs/puppetlabs-motd,0,0,0,23,1,17,5
puppetlabs/puppetlabs-tagmail,0,0,0,9,0,6,3
puppetlabs/puppetlabs-bootstrap,4,4,0,17,0,13,4
puppetlabs/puppetlabs-facter_task,0,0,0,11,0,8,3
puppetlabs/puppetlabs-hocon,0,0,0,0,0,0,0
puppetlabs/puppetlabs-package,0,0,0,16,0,13,3
puppetlabs/puppetlabs-puppet_agent,0,0,0,21,4,16,1
puppetlabs/puppetlabs-puppet_conf,0,0,0,16,1,8,7
puppetlabs/puppetlabs-resource,0,0,0,13,0,9,4
puppetlabs/puppetlabs-service,0,0,0,18,2,13,3
puppetlabs/puppetlabs-translate,0,0,0,8,0,5,3
puppetlabs/puppetlabs-yumrepo_core,0,0,0,0,0,0,0
